state_id,cluster_id,state,embedding
0,7,"('ChartLogic', 'ChartLogic', 'ChartLogic')",-0.8129374384880066;0.27518975734710693
1,11,"('ChartLogic', 'ChartLogic', 'DataBind')",-0.7820144891738892;0.06590547412633896
2,19,"('ChartLogic', 'ChartLogic', 'DataParse')",-0.7658250331878662;-0.2442997694015503
3,14,"('ChartLogic', 'ChartLogic', 'ErrorHandle')",-0.8491813540458679;0.26339465379714966
4,7,"('ChartLogic', 'ChartLogic', 'HelpSeek')",-0.7701373100280762;0.19810877740383148
5,4,"('ChartLogic', 'ChartLogic', 'ParamAdjust')",-0.6470378637313843;0.33030691742897034
6,3,"('ChartLogic', 'ChartLogic', 'SampleExplore')",-0.6922886371612549;-0.26607826352119446
7,12,"('ChartLogic', 'ChartLogic', 'SessionInit')",-0.7158494591712952;0.012013042345643044
8,18,"('ChartLogic', 'ChartLogic', 'StyleEdit')",-0.7954190373420715;0.22293192148208618
9,9,"('ChartLogic', 'DataBind', 'DataBind')",-0.7414982318878174;-0.4518651068210602
10,19,"('ChartLogic', 'DataBind', 'DataParse')",-0.7776955366134644;-0.2170109748840332
11,2,"('ChartLogic', 'DataBind', 'ErrorHandle')",-0.7185732126235962;-0.48945942521095276
12,14,"('ChartLogic', 'DataBind', 'HelpSeek')",-0.71303391456604;0.0499957837164402
13,11,"('ChartLogic', 'DataBind', 'ParamAdjust')",-0.6070674061775208;0.06365792453289032
14,8,"('ChartLogic', 'DataBind', 'StyleEdit')",-0.8097792267799377;0.01907833106815815
15,7,"('ChartLogic', 'DataParse', 'ChartLogic')",-0.7973947525024414;0.1014818474650383
16,19,"('ChartLogic', 'DataParse', 'DataParse')",-0.720362663269043;-0.40099847316741943
17,14,"('ChartLogic', 'DataParse', 'ErrorHandle')",-0.7149611711502075;-0.10101403295993805
18,6,"('ChartLogic', 'DataParse', 'HelpSeek')",-0.7607049942016602;0.40683820843696594
19,12,"('ChartLogic', 'DataParse', 'SessionInit')",-0.5718613266944885;-0.08599691838026047
20,18,"('ChartLogic', 'DataParse', 'StyleEdit')",-0.771776020526886;0.13610713183879852
21,7,"('ChartLogic', 'ErrorHandle', 'ChartLogic')",-0.5464155077934265;0.16629548370838165
22,2,"('ChartLogic', 'ErrorHandle', 'DataParse')",-0.6414414644241333;-0.46244391798973083
23,8,"('ChartLogic', 'ErrorHandle', 'ErrorHandle')",-0.822102963924408;0.21335726976394653
24,14,"('ChartLogic', 'ErrorHandle', 'HelpSeek')",-0.8421460390090942;0.09714798629283905
25,4,"('ChartLogic', 'ErrorHandle', 'ParamAdjust')",-0.6281778812408447;0.35998815298080444
26,18,"('ChartLogic', 'ErrorHandle', 'SessionInit')",-0.8097792267799377;0.01907833106815815
27,18,"('ChartLogic', 'ErrorHandle', 'StyleEdit')",-0.7905213832855225;0.27493876218795776
28,7,"('ChartLogic', 'HelpSeek', 'ChartLogic')",-0.8107722997665405;0.27960795164108276
29,11,"('ChartLogic', 'HelpSeek', 'DataBind')",-0.7867460250854492;0.07899697870016098
30,8,"('ChartLogic', 'HelpSeek', 'DataParse')",-0.8762400150299072;-0.05902712792158127
31,14,"('ChartLogic', 'HelpSeek', 'ErrorHandle')",-0.8927134871482849;-0.11655528098344803
32,6,"('ChartLogic', 'HelpSeek', 'HelpSeek')",-0.8357507586479187;0.28497782349586487
33,4,"('ChartLogic', 'HelpSeek', 'ParamAdjust')",-0.7014447450637817;0.37091147899627686
34,3,"('ChartLogic', 'HelpSeek', 'SampleExplore')",-0.7900241613388062;-0.04412518069148064
35,13,"('ChartLogic', 'HelpSeek', 'SessionInit')",-0.7619657516479492;0.07171854376792908
36,18,"('ChartLogic', 'HelpSeek', 'StyleEdit')",-0.8147244453430176;0.2618381679058075
37,17,"('ChartLogic', 'ParamAdjust', 'ChartLogic')",-0.5712540149688721;0.0737907737493515
38,9,"('ChartLogic', 'ParamAdjust', 'DataParse')",-0.6414414644241333;-0.46244391798973083
39,7,"('ChartLogic', 'ParamAdjust', 'HelpSeek')",-0.6960344910621643;0.31441667675971985
40,4,"('ChartLogic', 'ParamAdjust', 'ParamAdjust')",-0.655002236366272;0.36562949419021606
41,18,"('ChartLogic', 'ParamAdjust', 'StyleEdit')",-0.7905213832855225;0.27493876218795776
42,11,"('ChartLogic', 'SampleExplore', 'DataBind')",-0.6070674061775208;0.06365792453289032
43,10,"('ChartLogic', 'SampleExplore', 'ErrorHandle')",-0.7955591678619385;0.24649633467197418
44,3,"('ChartLogic', 'SampleExplore', 'HelpSeek')",-0.8287221193313599;0.04033607244491577
45,6,"('ChartLogic', 'SampleExplore', 'SessionInit')",-0.8097792267799377;0.01907833106815815
