state_id,cluster_id,state,embedding
0,3,"('SessionInit',)",-0.6457204818725586;-0.21328528225421906
1,3,"('SessionInit', 'SessionInit')",-0.6307083964347839;-0.23029616475105286
2,3,"('SessionInit', 'SessionInit', 'SessionInit')",-0.8526211977005005;-0.13741682469844818
3,22,"('SessionInit', 'SessionInit', 'DataBind')",-0.6799325942993164;-0.07698005437850952
4,16,"('SessionInit', 'DataBind', 'HelpSeek')",-0.483955055475235;0.08589094132184982
5,13,"('DataBind', 'HelpSeek', 'SampleExplore')",-0.5802133679389954;0.3059729337692261
6,5,"('HelpSeek', 'SampleExplore', 'ErrorHandle')",-0.6806958317756653;0.13704364001750946
7,23,"('SampleExplore', 'ErrorHandle', 'ErrorHandle')",-0.5500869154930115;-0.4885353147983551
8,7,"('SessionInit', 'DataParse')",-0.6091675758361816;-0.25316423177719116
9,3,"('SessionInit', 'DataParse', 'SessionInit')",-0.7570306062698364;-0.13586993515491486
10,3,"('DataParse', 'SessionInit', 'SessionInit')",-0.7764712572097778;0.017814425751566887
11,7,"('SessionInit', 'SessionInit', 'DataParse')",-0.8384515047073364;-0.13648787140846252
12,6,"('SessionInit', 'DataParse', 'DataBind')",-0.6602087020874023;0.43695059418678284
13,5,"('DataParse', 'DataBind', 'DataParse')",-0.7840691208839417;0.4058007001876831
14,5,"('DataBind', 'DataParse', 'DataParse')",-0.8582229018211365;0.24592940509319305
15,19,"('DataParse', 'DataParse', 'SessionInit')",-0.8322634696960449;0.03813193365931511
16,23,"('DataParse', 'SessionInit', 'DataParse')",-0.8061724901199341;0.2720412015914917
17,1,"('SessionInit', 'DataParse', 'StyleEdit')",-0.4806405007839203;-0.14578357338905334
18,17,"('DataParse', 'StyleEdit', 'StyleEdit')",-0.5500869154930115;-0.4885353147983551
19,23,"('StyleEdit', 'StyleEdit', 'HelpSeek')",-0.7986942529678345;0.06900821626186371
20,1,"('StyleEdit', 'HelpSeek', 'StyleEdit')",-0.7189894318580627;-0.32427582144737244
21,23,"('HelpSeek', 'StyleEdit', 'HelpSeek')",-0.8002535104751587;-0.054600790143013
22,23,"('StyleEdit', 'HelpSeek', 'SessionInit')",-0.750896155834198;-0.034416623413562775
23,16,"('HelpSeek', 'SessionInit', 'HelpSeek')",-0.6602087020874023;0.43695059418678284
24,14,"('SessionInit', 'HelpSeek', 'DataParse')",-0.6602087020874023;0.43695059418678284
25,5,"('HelpSeek', 'DataParse', 'DataParse')",-0.7838318347930908;-0.149983748793602
26,6,"('DataParse', 'DataParse', 'StyleEdit')",-0.6602087020874023;0.43695059418678284
27,23,"('DataParse', 'StyleEdit', 'DataParse')",-0.5500869154930115;-0.4885353147983551
28,23,"('StyleEdit', 'DataParse', 'HelpSeek')",-0.8129860758781433;-0.03262300044298172
29,3,"('DataParse',)",-0.6091675758361816;-0.25316423177719116
30,3,"('DataParse', 'SessionInit')",-0.6091675758361816;-0.25316423177719116
31,13,"('SessionInit', 'DataParse', 'DataParse')",-0.7171173691749573;-0.1868901252746582
32,6,"('DataParse', 'DataParse', 'DataBind')",-0.6602087020874023;0.43695059418678284
33,23,"('DataBind', 'DataParse', 'SessionInit')",-0.4806405007839203;-0.14578357338905334
34,17,"('DataParse', 'SessionInit', 'StyleEdit')",-0.5500869154930115;-0.4885353147983551
35,23,"('SessionInit', 'StyleEdit', 'HelpSeek')",-0.4806405007839203;-0.14578357338905334
36,17,"('HelpSeek', 'StyleEdit', 'StyleEdit')",-0.650460422039032;-0.45612573623657227
37,16,"('StyleEdit', 'HelpSeek', 'ErrorHandle')",-0.6846464276313782;0.30644890666007996
38,13,"('HelpSeek', 'ErrorHandle', 'SampleExplore')",-0.5802133679389954;0.3059729337692261
39,23,"('ErrorHandle', 'SampleExplore', 'ErrorHandle')",-0.5500869154930115;-0.4885353147983551
40,16,"('SampleExplore', 'ErrorHandle', 'HelpSeek')",-0.6602087020874023;0.43695059418678284
41,14,"('ErrorHandle', 'HelpSeek', 'DataParse')",-0.81873619556427;0.36429741978645325
42,19,"('DataParse', 'DataParse', 'ErrorHandle')",-0.6993304491043091;0.40215200185775757
43,16,"('DataParse', 'ErrorHandle', 'HelpSeek')",-0.7866278886795044;0.28948497772216797
44,12,"('DataParse', 'DataParse', 'HelpSeek')",-0.6091675758361816;-0.25316423177719116
45,23,"('DataParse', 'HelpSeek', 'SessionInit')",-0.8129860758781433;-0.03262300044298172
46,13,"('SessionInit', 'DataBind', 'DataBind')",-0.76097172498703;0.45258402824401855
47,4,"('DataBind', 'DataBind', 'DataParse')",-0.5374391674995422;-0.20071637630462646
48,24,"('DataBind', 'DataParse', 'ParamAdjust')",-0.6555522084236145;-0.4058639705181122
49,7,"('DataParse', 'ParamAdjust', 'HelpSeek')",-0.6091675758361816;-0.25316423177719116
50,10,"('ParamAdjust', 'HelpSeek', 'SessionInit')",-0.4806405007839203;-0.14578357338905334
51,3,"('HelpSeek', 'SessionInit', 'StyleEdit')",-0.5228380560874939;0.012954502366483212
52,6,"('SessionInit', 'StyleEdit', 'ChartLogic')",-0.5228380560874939;0.012954502366483212
53,23,"('StyleEdit', 'ChartLogic', 'ChartLogic')",-0.5228380560874939;0.012954502366483212
54,24,"('ChartLogic', 'ChartLogic', 'ChartLogic')",-0.5500869154930115;-0.4885353147983551
55,6,"('ChartLogic', 'ChartLogic', 'HelpSeek')",-0.6087450981140137;-0.1148097813129425
56,7,"('ChartLogic', 'HelpSeek', 'StyleEdit')",-0.7179295420646667;-0.45534709095954895
57,3,"('HelpSeek', 'StyleEdit', 'SessionInit')",-0.6091675758361816;-0.25316423177719116
58,3,"('StyleEdit', 'SessionInit', 'SessionInit')",-0.6091675758361816;-0.25316423177719116
59,8,"('SessionInit', 'SessionInit', 'StyleEdit')",-0.483955055475235;0.08589094132184982
60,17,"('SessionInit', 'StyleEdit', 'SampleExplore')",-0.5500869154930115;-0.4885353147983551
61,22,"('StyleEdit', 'SampleExplore', 'HelpSeek')",-0.5500869154930115;-0.4885353147983551
62,3,"('SampleExplore', 'HelpSeek', 'HelpSeek')",-0.6091675758361816;-0.25316423177719116
63,3,"('HelpSeek', 'HelpSeek', 'SessionInit')",-0.6091675758361816;-0.25316423177719116
64,3,"('HelpSeek', 'SessionInit', 'SessionInit')",-0.5500869154930115;-0.4885353147983551
65,20,"('SessionInit', 'SessionInit', 'HelpSeek')",-0.7119804620742798;-0.23843811452388763
66,23,"('SessionInit', 'HelpSeek', 'StyleEdit')",-0.8129860758781433;-0.03262300044298172
67,11,"('DataBind', 'DataBind', 'ErrorHandle')",-0.5802133679389954;0.3059729337692261
68,17,"('DataBind', 'ErrorHandle', 'ErrorHandle')",-0.6555522084236145;-0.4058639705181122
69,11,"('ErrorHandle', 'ErrorHandle', 'ParamAdjust')",-0.5228380560874939;0.012954502366483212
70,23,"('ErrorHandle', 'ParamAdjust', 'ChartLogic')",-0.6602087020874023;0.43695059418678284
71,6,"('ParamAdjust', 'ChartLogic', 'DataParse')",-0.4806405007839203;-0.14578357338905334
72,5,"('ChartLogic', 'DataParse', 'StyleEdit')",-0.6091675758361816;-0.25316423177719116
73,0,"('DataParse', 'StyleEdit', 'SessionInit')",-0.6091675758361816;-0.25316423177719116
74,15,"('DataParse', 'ParamAdjust', 'ParamAdjust')",-0.4806405007839203;-0.14578357338905334
75,23,"('ParamAdjust', 'ParamAdjust', 'StyleEdit')",-0.8129860758781433;-0.03262300044298172
76,6,"('SessionInit', 'SessionInit', 'ChartLogic')",-0.5228380560874939;0.012954502366483212
77,23,"('SessionInit', 'ChartLogic', 'ChartLogic')",-0.5228380560874939;0.012954502366483212
78,23,"('StyleEdit', 'HelpSeek', 'DataBind')",-0.6091675758361816;-0.25316423177719116
79,13,"('HelpSeek', 'DataBind', 'SessionInit')",-0.5802133679389954;0.3059729337692261
80,13,"('DataBind', 'SessionInit', 'ErrorHandle')",-0.5802133679389954;0.3059729337692261
81,23,"('SessionInit', 'ErrorHandle', 'ErrorHandle')",-0.5802133679389954;0.3059729337692261
82,2,"('ErrorHandle', 'ErrorHandle', 'ErrorHandle')",-0.7654531598091125;0.32102838158607483
83,17,"('ErrorHandle', 'ErrorHandle', 'DataBind')",-0.5500869154930115;-0.4885353147983551
84,23,"('ErrorHandle', 'DataBind', 'HelpSeek')",-0.5802133679389954;0.3059729337692261
85,16,"('DataBind', 'HelpSeek', 'ErrorHandle')",-0.483955055475235;0.08589094132184982
